Index,Pixel Count,"Position(x, y)"
1204,582,"(571.6219931271478, 404.266323024055)"
1215,1970,"(192.97817258883248, 409.6060913705584)"
1236,1043,"(359.98465963566633, 422.6366251198466)"
1239,2449,"(541.9840751327072, 430.04409963250305)"
1246,3949,"(156.82476576348444, 443.3175487465181)"
1264,682,"(262.9633431085044, 429.36950146627566)"
1265,595,"(687.7966386554622, 428.6857142857143)"
1291,131,"(227.23664122137404, 423.67175572519085)"
1293,2748,"(91.38282387190684, 447.0720524017467)"
1307,779,"(592.5211810012837, 436.59306803594353)"
1341,2028,"(655.3047337278107, 452.33678500986196)"
1342,1182,"(225.11928934010152, 449.072758037225)"
1343,355,"(331.8197183098591, 436.3098591549296)"
1352,1853,"(287.7593092282785, 454.95520777118185)"
1367,2257,"(481.8905626938414, 456.4838280903855)"
1382,1796,"(358.3502227171492, 456.55233853006683)"
1404,1008,"(408.96031746031747, 459.23809523809524)"
1423,37,"(245.6216216216216, 449.7837837837838)"
1434,104,"(610.7884615384615, 448.09615384615387)"
1447,1304,"(557.236963190184, 461.95475460122697)"
1448,286,"(691.2587412587412, 460.2587412587413)"
1471,557,"(607.6499102333931, 462.89766606822263)"
1474,6,"(521.6666666666666, 455.0)"
1475,5,"(317.8, 455.6)"
1479,93,"(249.79569892473117, 464.48387096774195)"
1480,13,"(315.84615384615387, 457.3076923076923)"
1494,5,"(190.0, 462.0)"
1495,111,"(194.0990990990991, 467.5135135135135)"
1505,8,"(221.75, 470.375)"
